iter	Passed	Remaining
0	138	138066
1	138	69331
2	139	46408
3	140	34925
4	140	28033
5	141	23435
6	142	20166
7	142	17711
8	143	15792
9	144	14256
10	144	13000
11	145	11953
12	145	11066
13	146	10306
14	146	9646
15	147	9071
16	148	8563
17	148	8111
18	149	7706
19	149	7341
20	150	7013
21	151	6713
22	151	6438
23	152	6186
24	152	5954
25	153	5740
26	153	5541
27	154	5359
28	154	5189
29	155	5029
30	156	4880
31	156	4740
32	157	4608
33	157	4484
34	158	4365
35	158	4254
36	159	4148
37	159	4048
38	160	3954
39	161	3864
40	161	3778
41	162	3697
42	162	3619
43	163	3545
44	163	3474
45	164	3406
46	164	3342
47	165	3280
48	165	3220
49	166	3163
50	167	3108
51	167	3055
52	168	3004
53	168	2955
54	169	2907
55	169	2862
56	170	2817
57	170	2775
58	171	2734
59	172	2694
60	172	2656
61	173	2618
62	173	2582
63	174	2547
64	174	2514
65	175	2481
66	175	2449
67	176	2415
68	176	2384
69	177	2355
70	177	2326
71	178	2299
72	178	2272
73	179	2246
74	180	2220
75	180	2195
76	181	2171
77	181	2147
78	182	2124
79	182	2102
80	183	2080
81	183	2059
82	184	2039
83	185	2018
84	185	1996
85	186	1977
86	186	1956
87	187	1938
88	187	1920
89	188	1902
90	188	1885
91	189	1868
92	189	1851
93	190	1835
94	190	1818
95	191	1803
96	192	1787
97	192	1772
98	193	1757
99	193	1743
100	194	1728
101	194	1712
102	195	1698
103	195	1685
104	196	1671
105	196	1658
106	197	1646
107	197	1633
108	198	1621
109	198	1609
110	199	1597
111	200	1585
112	200	1574
113	201	1562
114	201	1551
115	202	1539
116	202	1529
117	203	1518
118	203	1507
119	204	1498
120	204	1488
121	205	1478
122	205	1466
123	206	1456
124	206	1447
125	207	1438
126	207	1429
127	208	1418
128	208	1410
129	209	1401
130	210	1393
131	210	1384
132	211	1376
133	211	1368
134	212	1360
135	212	1352
136	213	1345
137	213	1336
138	214	1329
139	215	1321
140	215	1314
141	216	1307
142	216	1300
143	217	1293
144	218	1286
145	218	1279
146	219	1272
147	219	1265
148	220	1259
149	221	1252
150	221	1246
151	222	1240
152	223	1234
153	223	1228
154	224	1222
155	224	1216
156	225	1211
157	226	1205
158	226	1199
159	227	1193
160	228	1188
161	228	1182
162	229	1177
163	229	1171
164	230	1166
165	231	1161
166	231	1155
167	232	1150
168	232	1145
169	233	1140
170	234	1136
171	234	1131
172	235	1126
173	236	1121
174	236	1116
175	237	1111
176	238	1106
177	238	1102
178	239	1098
179	240	1094
180	240	1088
181	241	1084
182	242	1081
183	242	1076
184	243	1072
185	244	1068
186	244	1064
187	245	1060
188	245	1055
189	246	1050
190	247	1046
191	247	1041
192	248	1037
193	248	1033
194	249	1029
195	249	1024
196	250	1020
197	250	1016
198	251	1012
199	251	1007
200	252	1003
201	253	999
202	253	995
203	254	991
204	254	987
205	255	983
206	255	979
207	256	976
208	256	972
209	257	968
210	257	964
211	258	960
212	259	957
213	259	953
214	260	950
215	260	946
216	261	943
217	261	939
218	262	935
219	262	932
220	263	928
221	264	925
222	264	921
223	265	918
224	265	914
225	266	911
226	266	908
227	267	904
228	267	901
229	268	898
230	268	895
231	269	891
232	269	888
233	270	885
234	271	882
235	271	879
236	272	876
237	272	873
238	273	870
239	273	867
240	274	864
241	274	861
242	275	858
243	276	855
244	276	852
245	277	849
246	277	846
247	278	843
248	278	840
249	279	837
250	279	835
251	280	832
252	280	829
253	281	826
254	282	823
255	282	821
256	283	818
257	283	815
258	284	813
259	284	810
260	285	807
261	285	804
262	286	802
263	286	799
264	287	797
265	287	794
266	288	792
267	289	789
268	289	787
269	290	784
270	290	781
271	291	779
272	291	776
273	292	774
274	292	772
275	293	769
276	293	767
277	294	764
278	295	762
279	295	760
280	296	757
281	296	755
282	297	753
283	297	750
284	298	748
285	298	746
286	299	743
287	299	741
288	300	739
289	301	737
290	301	734
291	302	732
292	302	730
293	303	728
294	303	726
295	304	724
296	304	721
297	305	719
298	306	717
299	306	715
300	307	713
301	307	711
302	308	709
303	308	707
304	309	705
305	309	702
306	310	700
307	311	698
308	311	696
309	312	694
310	312	692
311	313	690
312	313	688
313	314	686
314	314	684
315	315	682
316	316	680
317	316	678
318	317	677
319	317	675
320	318	673
321	318	671
322	319	669
323	319	667
324	320	665
325	320	663
326	321	661
327	322	659
328	322	657
329	323	656
330	323	654
331	324	652
332	324	650
333	325	648
334	325	646
335	326	645
336	326	643
337	327	641
338	328	639
339	328	637
340	329	636
341	329	634
342	330	632
343	330	630
344	331	629
345	331	627
346	332	625
347	333	623
348	333	622
349	334	620
350	334	618
351	335	617
352	335	615
353	336	613
354	336	611
355	337	610
356	337	608
357	338	606
358	338	605
359	339	603
360	340	601
361	340	600
362	341	598
363	341	596
364	342	595
365	342	593
366	343	592
367	344	590
368	344	589
369	345	588
370	345	586
371	346	585
372	347	583
373	347	582
374	348	580
375	349	579
376	349	577
377	350	576
378	350	574
379	351	573
380	351	571
381	352	570
382	353	568
383	353	567
384	354	566
385	355	564
386	355	563
387	356	561
388	356	560
389	357	559
390	358	557
391	358	556
392	359	554
393	359	553
394	360	552
395	361	550
396	361	549
397	362	548
398	362	546
399	363	545
400	364	544
401	364	542
402	365	541
403	365	539
404	366	538
405	367	537
406	367	536
407	368	534
408	369	533
409	369	531
410	370	530
411	370	529
412	371	527
413	372	526
414	372	525
415	373	524
416	374	522
417	374	521
418	375	520
419	376	519
420	377	519
421	378	518
422	378	516
423	379	515
424	380	514
425	380	512
426	381	511
427	381	510
428	382	509
429	383	508
430	384	507
431	385	506
432	385	505
433	386	504
434	387	503
435	388	501
436	388	500
437	389	499
438	390	498
439	390	497
440	391	496
441	392	495
442	393	494
443	393	493
444	394	491
445	395	490
446	395	489
447	396	488
448	397	487
449	397	486
450	398	485
451	399	484
452	399	482
453	400	481
454	401	480
455	402	479
456	403	478
457	403	478
458	404	477
459	405	476
460	406	475
461	406	473
462	407	472
463	408	471
464	409	470
465	409	469
466	410	468
467	411	467
468	412	466
469	412	465
470	413	464
471	414	463
472	414	462
473	415	461
474	416	459
475	416	459
476	417	458
477	418	456
478	419	455
479	419	454
480	420	453
481	421	452
482	421	451
483	422	450
484	423	449
485	424	448
486	424	447
487	425	446
488	426	445
489	426	444
490	427	443
491	428	442
492	428	440
493	429	439
494	430	438
495	430	437
496	431	436
497	432	435
498	432	434
499	433	433
500	434	432
501	434	431
502	435	430
503	436	429
504	437	428
505	437	427
506	438	426
507	439	425
508	439	424
509	440	423
510	441	422
511	441	421
512	442	420
513	443	419
514	444	418
515	445	417
516	445	416
517	446	415
518	447	414
519	447	413
520	448	412
521	449	411
522	449	410
523	450	409
524	450	408
525	451	406
526	452	405
527	452	404
528	453	403
529	454	402
530	454	401
531	455	400
532	456	399
533	457	399
534	458	398
535	458	397
536	459	396
537	460	395
538	460	394
539	461	393
540	462	392
541	462	391
542	463	390
543	464	389
544	464	388
545	465	387
546	466	385
547	466	384
548	467	383
549	467	382
550	468	381
551	469	380
552	470	379
553	470	378
554	471	377
555	472	376
556	472	376
557	473	374
558	474	373
559	474	372
560	475	371
561	475	370
562	476	369
563	477	369
564	477	367
565	478	367
566	479	366
567	480	365
568	480	364
569	481	363
570	482	362
571	482	361
572	483	360
573	484	359
574	484	358
575	485	357
576	486	356
577	486	355
578	487	354
579	488	353
580	488	352
581	489	351
582	490	350
583	490	349
584	491	348
585	492	347
586	492	346
587	493	345
588	494	344
589	494	343
590	495	342
591	495	341
592	496	340
593	497	339
594	497	338
595	498	337
596	499	336
597	499	335
598	500	334
599	501	334
600	501	333
601	502	332
602	503	331
603	503	330
604	504	329
605	505	328
606	505	327
607	506	326
608	507	325
609	507	324
610	508	323
611	509	322
612	509	321
613	510	320
614	511	319
615	511	319
616	512	318
617	513	317
618	513	316
619	514	315
620	515	314
621	515	313
622	516	312
623	517	311
624	517	310
625	518	309
626	519	308
627	520	308
628	520	307
629	521	306
630	522	305
631	523	304
632	524	303
633	524	303
634	525	302
635	526	301
636	527	300
637	527	299
638	528	298
639	529	297
640	530	296
641	530	296
642	531	295
643	532	294
644	533	293
645	534	292
646	534	291
647	535	290
648	536	289
649	536	289
650	537	288
651	538	287
652	538	286
653	539	285
654	540	284
655	541	283
656	542	283
657	543	282
658	544	281
659	547	281
660	548	281
661	549	280
662	549	279
663	550	278
664	551	278
665	552	277
666	554	276
667	555	275
668	555	275
669	556	274
670	557	273
671	558	272
672	559	271
673	560	270
674	560	270
675	561	269
676	564	269
677	565	268
678	566	267
679	567	266
680	567	266
681	568	265
